IDA* on non-unit STP problem 7
(4x4)12 11 15 3 8 0 4 2 6 13 9 5 14 1 10 7
(4x4)0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
F bound current: 37.0 | 0 expanded | 0 generated
F bound current: 37.083333333333336 | 1 expanded | 4 generated
F bound current: 37.111111111111114 | 3 expanded | 11 generated
F bound current: 37.16025641025641 | 6 expanded | 21 generated
F bound current: 37.18803418803419 | 10 expanded | 33 generated
F bound current: 37.2 | 15 expanded | 47 generated
F bound current: 37.2625 | 21 expanded | 65 generated
F bound current: 37.34583333333333 | 28 expanded | 86 generated
F bound current: 37.42275641025641 | 36 expanded | 110 generated
F bound current: 37.53333333333333 | 45 expanded | 136 generated
F bound current: 37.7 | 55 expanded | 165 generated
F bound current: 37.825 | 66 expanded | 197 generated
F bound current: 39.07142857142857 | 78 expanded | 231 generated
F bound current: 39.145833333333336 | 91 expanded | 269 generated
F bound current: 39.17142857142857 | 105 expanded | 310 generated
F bound current: 39.214285714285715 | 120 expanded | 355 generated
F bound current: 39.25396825396825 | 136 expanded | 403 generated
F bound current: 39.262337662337664 | 153 expanded | 454 generated
F bound current: 39.27136752136752 | 171 expanded | 508 generated
F bound current: 39.3 | 191 expanded | 568 generated
F bound current: 39.32539682539682 | 212 expanded | 632 generated
F bound current: 39.338095238095235 | 235 expanded | 703 generated
F bound current: 39.371428571428574 | 259 expanded | 777 generated
F bound current: 39.39090909090909 | 284 expanded | 855 generated
F bound current: 39.3968253968254 | 310 expanded | 936 generated
F bound current: 39.4023199023199 | 337 expanded | 1021 generated
F bound current: 39.43650793650794 | 365 expanded | 1108 generated
F bound current: 39.463095238095235 | 394 expanded | 1199 generated
F bound current: 39.46666666666667 | 424 expanded | 1292 generated
F bound current: 39.48015873015873 | 455 expanded | 1388 generated
F bound current: 39.5125 | 487 expanded | 1487 generated
F bound current: 39.51428571428571 | 520 expanded | 1588 generated
F bound current: 39.51984126984127 | 554 expanded | 1692 generated
F bound current: 39.53386752136752 | 589 expanded | 1799 generated
F bound current: 39.545833333333334 | 625 expanded | 1909 generated
F bound current: 39.55708180708181 | 662 expanded | 2023 generated
F bound current: 39.57142857142857 | 700 expanded | 2139 generated
F bound current: 39.579365079365076 | 739 expanded | 2258 generated
F bound current: 39.59166666666667 | 779 expanded | 2380 generated
F bound current: 39.596825396825395 | 820 expanded | 2504 generated
F bound current: 39.62539682539683 | 862 expanded | 2632 generated
F bound current: 39.63650793650794 | 905 expanded | 2763 generated
F bound current: 39.63809523809524 | 949 expanded | 2898 generated
F bound current: 39.656288156288156 | 994 expanded | 3035 generated
F bound current: 39.65694444444445 | 1040 expanded | 3174 generated
F bound current: 39.659325396825395 | 1087 expanded | 3316 generated
F bound current: 39.69900793650794 | 1135 expanded | 3461 generated
F bound current: 39.7023199023199 | 1184 expanded | 3609 generated
F bound current: 39.73386752136752 | 1234 expanded | 3759 generated
F bound current: 39.74265873015873 | 1285 expanded | 3911 generated
F bound current: 39.78234126984127 | 1337 expanded | 4066 generated
F bound current: 39.78333333333333 | 1390 expanded | 4224 generated
F bound current: 39.79980158730159 | 1444 expanded | 4384 generated
F bound current: 39.8 | 1499 expanded | 4547 generated
F bound current: 39.8195818070818 | 1555 expanded | 4714 generated
F bound current: 39.82539682539682 | 1612 expanded | 4883 generated
F bound current: 39.87123015873016 | 1671 expanded | 5059 generated
F bound current: 39.871428571428574 | 1731 expanded | 5239 generated
F bound current: 39.89206349206349 | 1793 expanded | 5426 generated
F bound current: 39.90873015873016 | 1856 expanded | 5615 generated
F bound current: 39.91590909090909 | 1920 expanded | 5807 generated
F bound current: 39.93015873015873 | 1985 expanded | 6002 generated
F bound current: 39.933867521367524 | 2051 expanded | 6200 generated
F bound current: 39.93809523809524 | 2118 expanded | 6401 generated
F bound current: 39.96349206349206 | 2186 expanded | 6604 generated
F bound current: 39.96825396825397 | 2255 expanded | 6810 generated
F bound current: 39.96984126984127 | 2325 expanded | 7020 generated
F bound current: 39.98234126984127 | 2396 expanded | 7233 generated
F bound current: 39.98565323565323 | 2469 expanded | 7454 generated
F bound current: 40.01428571428571 | 2543 expanded | 7677 generated
F bound current: 40.096825396825395 | 2618 expanded | 7903 generated
F bound current: 40.10634920634921 | 2694 expanded | 8132 generated
F bound current: 40.12519841269841 | 2771 expanded | 8364 generated
F bound current: 40.12539682539683 | 2850 expanded | 8602 generated
F bound current: 40.13650793650794 | 2930 expanded | 8843 generated
F bound current: 40.18327228327228 | 3011 expanded | 9087 generated
F bound current: 40.20212148962149 | 3093 expanded | 9333 generated
F bound current: 40.2023199023199 | 3177 expanded | 9583 generated
F bound current: 40.221825396825395 | 3262 expanded | 9835 generated
F bound current: 40.26150793650794 | 3348 expanded | 10089 generated
F bound current: 40.32539682539682 | 3435 expanded | 10345 generated
F bound current: 40.37123015873016 | 3523 expanded | 10605 generated
F bound current: 40.371428571428574 | 3612 expanded | 10868 generated
F bound current: 40.402121489621486 | 3702 expanded | 11134 generated
F bound current: 40.40873015873016 | 3794 expanded | 11406 generated
F bound current: 40.43789682539683 | 3887 expanded | 11681 generated
F bound current: 40.43809523809524 | 3981 expanded | 11958 generated
F bound current: 40.46825396825397 | 4076 expanded | 12237 generated
F bound current: 40.48565323565323 | 4172 expanded | 12519 generated
F bound current: 40.509325396825396 | 4269 expanded | 12803 generated
F bound current: 40.53492063492064 | 4367 expanded | 13090 generated
F bound current: 40.89090909090909 | 4466 expanded | 13379 generated
F bound current: 40.95757575757575 | 4566 expanded | 13671 generated
F bound current: 41.28095238095238 | 4667 expanded | 13965 generated
F bound current: 41.32063492063492 | 4769 expanded | 14261 generated
F bound current: 41.33386752136752 | 4872 expanded | 14559 generated
F bound current: 41.34583333333333 | 4976 expanded | 14860 generated
F bound current: 41.35470085470085 | 5081 expanded | 15165 generated
F bound current: 41.371428571428574 | 5187 expanded | 15474 generated
F bound current: 41.38247863247863 | 5294 expanded | 15787 generated
F bound current: 41.387337662337664 | 5402 expanded | 16104 generated
Interrupted
