IDA* on non-unit STP problem 6
(4x4)2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 0
(4x4)0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
F bound current: 33.0 | 0 expanded | 0 generated
F bound current: 35.06666666666667 | 1 expanded | 2 generated
F bound current: 35.31666666666666 | 3 expanded | 7 generated
F bound current: 35.416666666666664 | 6 expanded | 15 generated
F bound current: 35.493589743589745 | 10 expanded | 25 generated
F bound current: 35.5 | 15 expanded | 38 generated
F bound current: 35.565018315018314 | 21 expanded | 54 generated
F bound current: 35.60470085470085 | 28 expanded | 73 generated
F bound current: 35.70470085470085 | 36 expanded | 96 generated
F bound current: 35.76501831501832 | 45 expanded | 122 generated
F bound current: 35.848351648351645 | 55 expanded | 152 generated
F bound current: 36.18168498168498 | 66 expanded | 185 generated
F bound current: 37.157575757575756 | 78 expanded | 220 generated
F bound current: 37.42777777777778 | 92 expanded | 262 generated
F bound current: 37.59090909090909 | 107 expanded | 308 generated
F bound current: 37.625 | 123 expanded | 358 generated
F bound current: 37.695609945609945 | 140 expanded | 411 generated
F bound current: 37.78162393162393 | 161 expanded | 476 generated
F bound current: 37.804700854700855 | 183 expanded | 543 generated
F bound current: 37.876129426129424 | 206 expanded | 614 generated
F bound current: 37.88803418803419 | 230 expanded | 689 generated
F bound current: 37.907875457875456 | 255 expanded | 767 generated
F bound current: 37.91085164835165 | 281 expanded | 849 generated
F bound current: 37.95470085470085 | 308 expanded | 934 generated
F bound current: 37.970375457875456 | 336 expanded | 1022 generated
F bound current: 37.976129426129425 | 365 expanded | 1113 generated
F bound current: 38.02136752136752 | 395 expanded | 1207 generated
F bound current: 38.05370879120879 | 426 expanded | 1303 generated
F bound current: 38.07751831501832 | 458 expanded | 1402 generated
F bound current: 38.13704212454212 | 491 expanded | 1503 generated
F bound current: 38.221367521367526 | 525 expanded | 1606 generated
F bound current: 38.381684981684984 | 560 expanded | 1711 generated
F bound current: 38.38704212454213 | 596 expanded | 1819 generated
F bound current: 38.724242424242426 | 633 expanded | 1929 generated
F bound current: 38.782575757575756 | 671 expanded | 2041 generated
F bound current: 38.89835164835165 | 710 expanded | 2156 generated
F bound current: 39.04560994560995 | 750 expanded | 2273 generated
F bound current: 39.26227661227661 | 791 expanded | 2393 generated
F bound current: 39.26868686868687 | 833 expanded | 2515 generated
F bound current: 39.3004329004329 | 876 expanded | 2641 generated
F bound current: 39.320609945609945 | 920 expanded | 2771 generated
F bound current: 39.3629329004329 | 965 expanded | 2904 generated
F bound current: 39.44626623376623 | 1011 expanded | 3040 generated
F bound current: 39.50470085470086 | 1058 expanded | 3179 generated
F bound current: 39.512276612276615 | 1106 expanded | 3321 generated
F bound current: 39.51868686868687 | 1155 expanded | 3466 generated
F bound current: 39.52959956709957 | 1209 expanded | 3626 generated
F bound current: 39.57612942612943 | 1264 expanded | 3788 generated
F bound current: 39.60470085470085 | 1320 expanded | 3953 generated
F bound current: 39.618686868686865 | 1377 expanded | 4120 generated
F bound current: 39.62777777777778 | 1435 expanded | 4289 generated
F bound current: 39.657575757575756 | 1494 expanded | 4462 generated
F bound current: 39.695609945609945 | 1554 expanded | 4638 generated
F bound current: 39.69920634920635 | 1615 expanded | 4817 generated
F bound current: 39.7020202020202 | 1677 expanded | 4999 generated
F bound current: 39.71111111111111 | 1740 expanded | 5185 generated
F bound current: 39.715811965811966 | 1804 expanded | 5374 generated
F bound current: 39.73376623376623 | 1869 expanded | 5566 generated
F bound current: 39.767038517038515 | 1935 expanded | 5762 generated
F bound current: 39.767857142857146 | 2002 expanded | 5961 generated
F bound current: 39.77612942612943 | 2070 expanded | 6164 generated
F bound current: 39.77959956709957 | 2139 expanded | 6371 generated
F bound current: 39.791666666666664 | 2209 expanded | 6580 generated
F bound current: 39.792735042735046 | 2280 expanded | 6791 generated
F bound current: 39.79626623376623 | 2352 expanded | 7006 generated
F bound current: 39.83035714285714 | 2425 expanded | 7224 generated
F bound current: 39.83846708846709 | 2499 expanded | 7445 generated
F bound current: 39.85946275946276 | 2574 expanded | 7670 generated
F bound current: 39.876129426129424 | 2650 expanded | 7898 generated
F bound current: 39.87959956709957 | 2727 expanded | 8129 generated
F bound current: 39.89273504273504 | 2805 expanded | 8363 generated
F bound current: 39.90096708846709 | 2885 expanded | 8603 generated
F bound current: 39.907575757575756 | 2966 expanded | 8846 generated
F bound current: 39.913690476190474 | 3048 expanded | 9092 generated
F bound current: 39.94755799755799 | 3131 expanded | 9341 generated
F bound current: 39.947557997558 | 3215 expanded | 9593 generated
F bound current: 39.95053418803419 | 3300 expanded | 9849 generated
F bound current: 39.9520202020202 | 3386 expanded | 10108 generated
F bound current: 39.962932900432904 | 3473 expanded | 10370 generated
F bound current: 39.96416361416361 | 3561 expanded | 10634 generated
F bound current: 39.96703851703852 | 3651 expanded | 10904 generated
F bound current: 39.98430042180043 | 3751 expanded | 11206 generated
F bound current: 39.99702380952381 | 3852 expanded | 11511 generated
F bound current: 39.99878454878455 | 3954 expanded | 11818 generated
F bound current: 40.003846153846155 | 4060 expanded | 12137 generated
F bound current: 40.00757575757576 | 4167 expanded | 12458 generated
F bound current: 40.010057997558 | 4275 expanded | 12781 generated
F bound current: 40.032875457875456 | 4384 expanded | 13107 generated
F bound current: 40.044444444444444 | 4495 expanded | 13439 generated
F bound current: 40.04560994560995 | 4607 expanded | 13773 generated
F bound current: 40.050371850371846 | 4721 expanded | 14114 generated
F bound current: 40.0520202020202 | 4836 expanded | 14458 generated
F bound current: 40.0530525030525 | 4952 expanded | 14804 generated
F bound current: 40.05370879120879 | 5069 expanded | 15152 generated
F bound current: 40.067633755133755 | 5187 expanded | 15504 generated
F bound current: 40.08076923076923 | 5306 expanded | 15858 generated
F bound current: 40.08449883449883 | 5426 expanded | 16215 generated
F bound current: 40.093391330891336 | 5547 expanded | 16575 generated
F bound current: 40.117200854700855 | 5669 expanded | 16938 generated
F bound current: 40.12894327894328 | 5792 expanded | 17303 generated
F bound current: 40.13704212454213 | 5916 expanded | 17671 generated
Interrupted
